_id,name,channel,link,date,viewCount
Bowling For Soup - Girl All The Bad Guys Want,Bowling For Soup - Girl All The Bad Guys Want,BowlingForSoupVEVO,https://www.youtube.com/watch?v=VGRxmYXi4Io&authuser=1,2024-02-14T14:01:00.000Z,39
The Killers - Mr. Brightside (Official Music Video),The Killers - Mr. Brightside (Official Music Video),TheKillersVEVO,https://www.youtube.com/watch?v=gGdGFtwCNBE&authuser=1,2024-01-13T15:50:00.000Z,39
SOiL - Unreal (Video),SOiL - Unreal (Video),SOiLVEVO,https://www.youtube.com/watch?v=wdTl5R1YzaA&authuser=1,2018-05-19T18:23:00.000Z,39
Taylor Swift - Anti-Hero (Official Music Video),Taylor Swift - Anti-Hero (Official Music Video),TaylorSwiftVEVO,https://www.youtube.com/watch?v=b1kbLwvqugk&authuser=1,2023-12-19T16:26:00.000Z,38
Papa Roach - HELP (Official Video),Papa Roach - HELP (Official Video),PapaRoachVEVO,https://www.youtube.com/watch?v=HYLTsdeO2uA&authuser=1,2023-01-23T16:38:00.000Z,37
Ke$ha - Die Young (Official Video),Ke$ha - Die Young (Official Video),keshaVEVO,https://www.youtube.com/watch?v=NOubzHCUt48&authuser=1,2023-02-13T17:22:00.000Z,36
Rob Zombie - Dragula,Rob Zombie - Dragula,RobZombieVEVO,https://www.youtube.com/watch?v=EqQuihD0hoI&authuser=1,2023-09-02T18:27:00.000Z,36
Marilyn Manson - mOBSCENE (Official Music Video),Marilyn Manson - mOBSCENE (Official Music Video),MarilynMansonVEVO,https://www.youtube.com/watch?v=mdwZV4Y95Nw&authuser=1,2020-12-05T17:44:00.000Z,36
Katy Perry - E.T. ft. Kanye West (Official Music Video),Katy Perry - E.T. ft. Kanye West (Official Music Video),KatyPerryVEVO,https://www.youtube.com/watch?v=t5Sd5c4o9UM&authuser=1,2023-03-17T17:07:00.000Z,36
Bring Me The Horizon - Ludens (Official Video),Bring Me The Horizon - Ludens (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=B9wvTuDC-H0&authuser=1,2024-02-23T13:06:00.000Z,36
Evanescence - Everybody’s Fool (Official HD Music Video),Evanescence - Everybody’s Fool (Official HD Music Video),EvanescenceVEVO,https://www.youtube.com/watch?v=jhC1pI76Rqo&authuser=1,2023-05-15T14:22:00.000Z,35
Avril Lavigne - Sk8er Boi (Official Video),Avril Lavigne - Sk8er Boi (Official Video),AvrilLavigneVEVO,https://www.youtube.com/watch?v=TIy3n2b7V9k&authuser=1,2024-01-28T20:18:00.000Z,35
