_id,name,channel,link,date,image,viewCount
Taylor Swift - Bad Blood ft. Kendrick Lamar,Taylor Swift - Bad Blood ft. Kendrick Lamar,TaylorSwiftVEVO,https://www.youtube.com/watch?v=QcIy9NiNbmo&authuser=1,2023-05-15T14:11:00.000Z,https://i.ytimg.com/vi/QcIy9NiNbmo/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,49
blink-182 - Adam's Song,blink-182 - Adam's Song,blink182VEVO,https://www.youtube.com/watch?v=2MRdtXWcgIw&authuser=1,2024-01-05T20:38:00.000Z,https://i.ytimg.com/vi/2MRdtXWcgIw/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,49
Evanescence - Bring Me To Life (Official HD Music Video),Evanescence - Bring Me To Life (Official HD Music Video),EvanescenceVEVO,https://www.youtube.com/watch?v=3YxaaGgTQYM&authuser=1,2024-01-13T16:34:00.000Z,https://i.ytimg.com/vi/3YxaaGgTQYM/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,47
blink-182 - Feeling This (Official Video),blink-182 - Feeling This (Official Video),blink182VEVO,https://www.youtube.com/watch?v=4kMZ23T9VHE&authuser=1,2023-12-13T15:01:00.000Z,https://i.ytimg.com/vi/4kMZ23T9VHE/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,45
Katy Perry - Wide Awake (Official Video),Katy Perry - Wide Awake (Official Video),KatyPerryVEVO,https://www.youtube.com/watch?v=k0BWlvnBmIE&authuser=1,2023-11-23T17:59:00.000Z,https://i.ytimg.com/vi/k0BWlvnBmIE/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,42
Amaranthe - The Nexus (Official Music Video),Amaranthe - The Nexus (Official Music Video),AmarantheMusicVEVO,https://www.youtube.com/watch?v=SxOybZcRXhI&authuser=1,2019-03-20T19:35:00.000Z,https://i.ytimg.com/vi/SxOybZcRXhI/mqdefault.jpg?at=AJOi4lEZVSTWD8N46AGlDdkBYUTJ%3A1710613723580,42
Bullet For My Valentine - Tears Don't Fall (Official Video),Bullet For My Valentine - Tears Don't Fall (Official Video),bulletvalentineVEVO,https://www.youtube.com/watch?v=9sTQ0QdkN3Q&authuser=1,2024-02-20T10:58:00.000Z,https://i.ytimg.com/vi/9sTQ0QdkN3Q/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,42
Pale Waves - Television Romance,Pale Waves - Television Romance,PaleWavesVEVO,https://www.youtube.com/watch?v=ot1j5M5PTC4&authuser=1,2024-02-20T11:10:00.000Z,https://i.ytimg.com/vi/ot1j5M5PTC4/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,41
Bring Me The Horizon - sugar honey ice & tea (Official Video),Bring Me The Horizon - sugar honey ice & tea (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=-iM83TiKdY0&authuser=1,2024-02-23T12:58:00.000Z,https://i.ytimg.com/vi/-iM83TiKdY0/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,40
Korn - Thoughtless (Official HD Video),Korn - Thoughtless (Official HD Video),KornVEVO,https://www.youtube.com/watch?v=xVPvzX-AeSM&authuser=1,2023-01-21T19:17:00.000Z,https://i.ytimg.com/vi/xVPvzX-AeSM/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,40
Bowling For Soup - Girl All The Bad Guys Want,Bowling For Soup - Girl All The Bad Guys Want,BowlingForSoupVEVO,https://www.youtube.com/watch?v=VGRxmYXi4Io&authuser=1,2024-02-14T14:01:00.000Z,https://i.ytimg.com/vi/VGRxmYXi4Io/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,39
"Fall Out Boy - Sugar, We're Goin Down (Official Music Video)","Fall Out Boy - Sugar, We're Goin Down (Official Music Video)",FallOutBoyVEVO,https://www.youtube.com/watch?v=uhG-vLZrb-g&authuser=1,2023-11-29T18:52:00.000Z,https://i.ytimg.com/vi/uhG-vLZrb-g/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,39
SOiL - Unreal (Video),SOiL - Unreal (Video),SOiLVEVO,https://www.youtube.com/watch?v=wdTl5R1YzaA&authuser=1,2018-05-19T18:23:00.000Z,https://i.ytimg.com/vi/wdTl5R1YzaA/mqdefault.jpg?at=AJOi4lEZVSTWD8N46AGlDdkBYUTJ%3A1710613723580,39
The Killers - Mr. Brightside (Official Music Video),The Killers - Mr. Brightside (Official Music Video),TheKillersVEVO,https://www.youtube.com/watch?v=gGdGFtwCNBE&authuser=1,2024-01-13T15:50:00.000Z,https://i.ytimg.com/vi/gGdGFtwCNBE/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,39
Seether - Breakdown,Seether - Breakdown,SeetherVEVO,https://www.youtube.com/watch?v=BDKM181eTsM&authuser=1,2020-12-05T16:34:00.000Z,https://i.ytimg.com/vi/BDKM181eTsM/mqdefault.jpg?at=AJOi4lEnZ6y7xoqzd5fqjz8FKxRr%3A1710613553438,39
Taylor Swift - Anti-Hero (Official Music Video),Taylor Swift - Anti-Hero (Official Music Video),TaylorSwiftVEVO,https://www.youtube.com/watch?v=b1kbLwvqugk&authuser=1,2023-12-19T16:26:00.000Z,https://i.ytimg.com/vi/b1kbLwvqugk/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,38
Papa Roach - HELP (Official Video),Papa Roach - HELP (Official Video),PapaRoachVEVO,https://www.youtube.com/watch?v=HYLTsdeO2uA&authuser=1,2023-01-23T16:38:00.000Z,https://i.ytimg.com/vi/HYLTsdeO2uA/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,37
Bring Me The Horizon - Ludens (Official Video),Bring Me The Horizon - Ludens (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=B9wvTuDC-H0&authuser=1,2024-02-23T13:06:00.000Z,https://i.ytimg.com/vi/B9wvTuDC-H0/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,36
Rob Zombie - Dragula,Rob Zombie - Dragula,RobZombieVEVO,https://www.youtube.com/watch?v=EqQuihD0hoI&authuser=1,2023-09-02T18:27:00.000Z,https://i.ytimg.com/vi/EqQuihD0hoI/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,36
Marilyn Manson - mOBSCENE (Official Music Video),Marilyn Manson - mOBSCENE (Official Music Video),MarilynMansonVEVO,https://www.youtube.com/watch?v=mdwZV4Y95Nw&authuser=1,2020-12-05T17:44:00.000Z,https://i.ytimg.com/vi/mdwZV4Y95Nw/mqdefault.jpg?at=AJOi4lEnZ6y7xoqzd5fqjz8FKxRr%3A1710613553438,36
Katy Perry - E.T. ft. Kanye West (Official Music Video),Katy Perry - E.T. ft. Kanye West (Official Music Video),KatyPerryVEVO,https://www.youtube.com/watch?v=t5Sd5c4o9UM&authuser=1,2023-03-17T17:07:00.000Z,https://i.ytimg.com/vi/t5Sd5c4o9UM/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,36
Ke$ha - Die Young (Official Video),Ke$ha - Die Young (Official Video),keshaVEVO,https://www.youtube.com/watch?v=NOubzHCUt48&authuser=1,2023-02-13T17:22:00.000Z,https://i.ytimg.com/vi/NOubzHCUt48/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,36
Seether - Broken ft. Amy Lee,Seether - Broken ft. Amy Lee,SeetherVEVO,https://www.youtube.com/watch?v=hPC2Fp7IT7o&authuser=1,2023-06-30T11:59:00.000Z,https://i.ytimg.com/vi/hPC2Fp7IT7o/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,35
